MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitued,StreetAddress,City,County,State,Location,Missing,Link
4328,,London Bridge,,,1971,,34.47153,-114.34768,,Lake Havasu City,Mohave County,Arizona,Marker is on Arizona Route 95 south of McCulloch Blvd. N when traveling south. ,,http://www.hmdb.org/m.asp?m=4328
6974,,"Robert P. McCulloch, Sr.",,,1981,Citizens of Lake Havasu City,34.47214,-114.34685,,Lake Havasu City,Mohave County,Arizona,"Marker is on McCulloch Boulevard North, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=6974
6994,086-352,Old Fort Bowie,Guardian of Apache Pass,,,,32.32552,-109.48448,,Bowie,Cochise County,Arizona,"Marker is on I-10 Extension (Interstate 10), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6994
7002,,Quijotoa,,,,,32.13502,-112.09357,,Sikul Himatk,Pima County,Arizona,"Marker is on Tucson Ajo Highway (State Highway 86) near Indian Route 32, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=7002
7003,,Kris Eggle,,,,National Park Service,31.95462,-112.80118,,Lukeville,Pima County,Arizona,"Marker is on Puerto Blanco Drive, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=7003
7004,060-019,Tyson's Well,Old Stage Station,,,Arizona Highway Department Historical Marker in cooperation with the State Landmarks Committee,33.66615,-114.21962,,Quartzsite,La Paz County,Arizona,"Marker is on West Main Street (Arizona Route 95), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=7004
7005,,Oasis Hotel Site,,,,,33.66618,-114.21983,,Quartzsite,La Paz County,Arizona,"Marker is on West Main Street (Arizona Route 95), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=7005
8432,,First Municipal Airport in the United States,Arizona Historic Site,,,,32.16512,-110.96772,4823 South 6th Avenue,Tucson,Pima County,Arizona,"Marker is at the intersection of South 6th Avenue and West Oklahoma Street, on the right when traveling north on South 6th Avenue. ",,http://www.hmdb.org/m.asp?m=8432
18132,,Site of Territorial Courthouse,,,,The Historic Preservation Fund and The City of Prescott,34.54171,-112.46892,120 South Cortez Street,Prescott,Yavapai County,Arizona,"Marker is at the intersection of East Gurley Street (Arizona Route 89) and South Cortez Street, on the left when traveling west on East Gurley Street. ",,http://www.hmdb.org/m.asp?m=18132
18767,,Santa Fe Depot,,,,The Historic Preservation Fund and the City of Prescott,34.54515,-112.46879,,Prescott,Yavapai County,Arizona,"Marker is at the intersection of Sheldon Street (Arizona Route 89) and Cortez Street, on the right when traveling south on Sheldon Street. ",,http://www.hmdb.org/m.asp?m=18767
