MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
18918,,The British Garrison in London,,,,"Ontario Heritage Foundation, Ministry of Culture and Communications",42.98998,-81.24944,,London,Middlesex County,Ontario,,,http://www.hmdb.org/m.asp?m=18918
18921,,The 1st Hussars,,,1970,The Dutch Canadians Remember Committee of 1995,42.99048,-81.2493,,London,Middlesex County,Ontario,"Marker is on Central Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=18921
18922,,"""Holy Roller""",,,1950,1st Hussars,42.99048,-81.2493,,London,Middlesex County,Ontario,"Memorial is on Central Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=18922
18923,,50th Anniversary of the Allied Invasion of Normandy,1944 - 1994,"""Hodie Non Cras""",1994,1st Hussars,42.99048,-81.2493,,London,Middlesex County,Ontario,"Marker is on Central Avenue, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=18923
18927,,London South African War Memorial,1899 - 1902,,,Imperial Order Daughters of the Empire,42.98857,-81.24861,,London,Middlesex County,Ontario,,,http://www.hmdb.org/m.asp?m=18927
18928,,Crimean War Cannons,,,1907,London and Middlesex Historical Society,42.9884,-81.24874,,London,Middlesex County,Ontario,,,http://www.hmdb.org/m.asp?m=18928
18929,,London Armouries,,,1997,Historic Sites Committee of the London Public Library Board,42.98534,-81.243,325 Dundas Street,London,Middlesex County,Ontario,"Marker is on Dundas Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=18929
18932,,London Women's Monument,,,1994,,42.98975,-81.24972,,London,Middlesex County,Ontario,"Marker is on Clarence Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=18932
18933,,"Harold A. Rogers, O.C., O.B.E.",1899 - 1994,,,"Ontario Heritage Foundation, an agency of the Government of Ontario",42.9855,-81.24259,325 Dundas Street,London,Middlesex County,Ontario,"Marker is at the intersection of Dundas Street and Waterloo Street, on the right when traveling east on Dundas Street. ",,http://www.hmdb.org/m.asp?m=18933
18962,,Middlesex Court House,Le Palais de Justice de Middlesex,,1957,Historic Sites and Monuments Board of Canada,42.98219,-81.25398,399 Ridout Street North,London,Middlesex County,Ontario,"Marker is at the intersection of Ridout Street North and Dundas Street, on the left when traveling north on Ridout Street North. ",,http://www.hmdb.org/m.asp?m=18962
18963,,The East London Town Hall,,,1972,The London Public Library Board,42.99069,-81.22484,795 Dundas Street East,London,Middlesex County,Ontario,"Marker is at the intersection of Dundas Street East and Rectory Street, on the right when traveling east on Dundas Street East. ",,http://www.hmdb.org/m.asp?m=18963
18966,,London War Cenotaph,,,1934,Imperial Order Daughters of the Empire,42.98767,-81.24683,,London,Middlesex County,Ontario,"Memorial is at the intersection of Wellington Street and Dufferin Avenue, on the left when traveling north on Wellington Street. ",,http://www.hmdb.org/m.asp?m=18966
