MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
3364,,University of Denver,Meyer Womble Observatory,,1996,,39.58768,-105.64265,,Idaho Springs,Clear Creek County,Colorado,Marker can be reached from Mt. Evans Road south of Colorado Highway 103. ,,http://www.hmdb.org/m.asp?m=3364
4641,,Union Station Area,Lower Downtown Historic District,Established 1988,1988,Denver Landmark Commission,39.75278,-104.99996,1701 Wynkoop St,Denver,Denver County,Colorado,Marker is on Wynkoop St near 17th Street. ,,http://www.hmdb.org/m.asp?m=4641
4648,,WFD Volunteers 1934 - 2000,,,2003,Westminster Historical Society,39.82897,-105.03938,3948 W 73rd Ave,Westminster,Adams County,Colorado,Marker is on W 73rd Ave near Osceola Street. ,,http://www.hmdb.org/m.asp?m=4648
4659,10w,Four Corners,Wall Street of the Rockies,"Seventeenth Street Denver, Colorado",,Walk of Fame International.,39.74728,-104.99272,1690 Champa Street,Denver,Denver County,Colorado,"Marker can be reached from the intersection of Champa Street and 17th Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=4659
4678,40,Smoky Hill Trail,,,1936,"State Historical Society of Colorado, The Mrs. J.N. Hall Foundation, City and County of Denver",39.7403,-104.98764,,Denver,Denver County,Colorado,Marker is at the intersection of Broadway and Colfax on Broadway. ,,http://www.hmdb.org/m.asp?m=4678
4679,73,Passing of the Street Car,,,1950,"The State Historical Society of Colorado, The Mrs. J. N. Hall Foundation",39.73996,-104.98804,,Denver,Denver County,Colorado,Marker is on West Colfax Ave near Broadway. ,,http://www.hmdb.org/m.asp?m=4679
4743,,In Honor of Christopher Columbus,,,1970,Alfred P. Adamo and Anna E. Adamo,39.73956,-104.98865,,Denver,Denver County,Colorado,Marker can be reached from Broadway. ,,http://www.hmdb.org/m.asp?m=4743
4745,,Colorado Soldier's Monument,,,1909,State of Colorado,39.73923,-104.98563,200 E Colfax Ave,Denver,Denver County,Colorado,Marker is on Sherman Street. <font color=red> Reported permanently removed.</font>,Confirmed Missing,http://www.hmdb.org/m.asp?m=4745
4838,,The Continental Divide,,,,,38.84052,-105.04173,,Cascade,El Paso County,Colorado,Marker is on Pikes Peak Hwy. ,,http://www.hmdb.org/m.asp?m=4838
4846,,Southwest Rises The Summit of Pikes Peak,,,,Colorado Department of Highways,39.22987,-104.87872,,Larkspur,Douglas County,Colorado,"Marker is on Southbound Rest Area (Interstate 25 at milepost 171), in the median. ",,http://www.hmdb.org/m.asp?m=4846
4865,,Zebulon Montgomery Pike,,,1906,The State of Colorado,38.84052,-105.04173,,Cascade,El Paso County,Colorado,Marker is on Pikes Peak Hwy. ,,http://www.hmdb.org/m.asp?m=4865
4884,,The United States Air Force Academy,,,1964,Colorado Highway Department,38.97373,-104.80779,,Colorado Springs,El Paso County,Colorado,"Marker is on the southbound overlook (Interstate 25 at milepost 152), on the right when traveling south. <font color=red> Reported permanently removed.</font>",Confirmed Missing,http://www.hmdb.org/m.asp?m=4884
5616,,In Memory of Sadie M. Likens,,,1923,Grand Army of the Republic,39.73982,-104.98719,,Denver,Denver County,Colorado,Marker is on Lincoln Street. ,,http://www.hmdb.org/m.asp?m=5616
5780,32,The Rocky Mountain News,,,1934,"the State Historical Society of Colorado from the Mrs. J. N. Hall Foundation, commemorating the 75th Anniversary of the founding of Colorado’s first newspaper.",39.74799,-105.00142,1352 Market St,Denver,Denver County,Colorado,Marker is at the intersection of Market Street and 14th Street on Market Street. ,,http://www.hmdb.org/m.asp?m=5780
6674,,Oxford Hotel and Annex,Lower Downtown Walking Tour,1891,,Lower Downtown District,39.75224,-104.99915,1600 17th Street,Denver,Denver County,Colorado,"Marker is on 17th Street near Wazee Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6674
6755,280,Sand Creek Massacre,,,2002,the Pioneers' Association and the State of Colorado.,39.73923,-104.98563,200 E Colfax Ave,Denver,Denver County,Colorado,Marker is on Colfax Avenue. ,,http://www.hmdb.org/m.asp?m=6755
13629,,Argentine Central Railway,,,2006,,39.69444,-105.72452,899 Mountain Street,Silver Plume,Clear Creek County,Colorado,"Marker is on Mountain Street, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=13629
17596,,The Rail Chains Final Link,Pacific       Atlantic,,,Union Pacific Company in cooperation with Comanche Crossing Historical Society,39.73662,-104.32495,,Strasburg,Arapahoe County,Colorado,"Marker can be reached from the intersection of Railroad Street and Arapahoe Street, on the right when traveling west. <font color=red> Reported permanently removed.</font>",Confirmed Missing,http://www.hmdb.org/m.asp?m=17596
18299,L-02-1,The Holiday Drive-In Marquee 1953,,,,City Of Boulder Landmark,40.0616,-105.2768,,Boulder,Boulder County,Colorado,"Marker is at the intersection of 28th Street (U.S. 36) and Lee Hill Rd., on the right when traveling south on 28th Street. ",,http://www.hmdb.org/m.asp?m=18299
19080,,Evergreen Cemetery Pioneers Memorial,,,1993,"El Paso County Pioneers' Association., Inc., and Evergreen Cemetery",38.814,-104.79492,,Colorado Springs,El Paso County,Colorado,,,http://www.hmdb.org/m.asp?m=19080
22304,,Sugar Building,1906,Lower Downtown Walking Tour,,,39.75111,-105.00002,,Denver,Denver County,Colorado,Marker is at the intersection of 16th Street and Wazee Street on 16th Street. ,,http://www.hmdb.org/m.asp?m=22304
22701,43,Pike's Stockade,,,1936,the Colorado Historical Society,37.29386,-105.81052,,Sanford,Conejos County,Colorado,"Marker is on County Road 24, ¾ mile south of County Road Y, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=22701
