MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,City,State,Location,Missing,Link
6218,,Batteries 2 and 3,,,,National Park Service,29.9415,-89.99423,,Chalmette,St. Bernard Parish,Louisiana,Marker can be reached from Battlefield Road. ,,http://www.hmdb.org/m.asp?m=6218
6219,,Redoubt and Battery 1,,,,National Park Service,29.94106,-89.99446,,Chalmette,St. Bernard Parish,Louisiana,Marker can be reached from Battlefield Road. <font color=red> Reported missing.</font>,Reported Missing,http://www.hmdb.org/m.asp?m=6219
6221,,The Battle on the West Bank,,,,"National Park Service, U.S. Department of the Interior",29.94101,-89.99456,,Chalmette,St. Bernard Parish,Louisiana,Marker can be reached from Battlefield Road. <font color=red> Reported missing.</font>,Reported Missing,http://www.hmdb.org/m.asp?m=6221
6222,,In Memory of Major Samuel Spotts U.S.A.,,,,,29.94072,-89.99526,,Chalmette,St. Bernard Parish,Louisiana,Marker can be reached from Battlefield Road. ,,http://www.hmdb.org/m.asp?m=6222
6223,,Rodriguez Canal,,,,National Park Service,29.94178,-89.99405,,Chalmette,St. Bernard Parish,Louisiana,Marker can be reached from Battlefield Road. ,,http://www.hmdb.org/m.asp?m=6223
6243,,British Strategy,,,,National Park Service,29.94039,-89.99243,,Chalmette,St. Bernard Parish,Louisiana,"Marker is on Battlefield Road, on the left when traveling east. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=6243
6244,,Lethal Exposure,,,,National Park Service,29.94,-89.98994,,Chalmette,St. Bernard Parish,Louisiana,"Marker is on Battlefield Road, on the left when traveling north. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=6244
6248,,“Where Has Our Equipment Gone?”,,,,National Park Service,29.94157,-89.98906,,Chalmette,St. Bernard Parish,Louisiana,"Marker is on Battlefield Road, on the left when traveling north. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=6248
6251,,The Battle Ends,,,,National Park Service,29.94419,-89.98925,,Chalmette,St. Bernard Parish,Louisiana,"Marker is on Battlefield Road, on the left when traveling west. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=6251
6271,,Batteries 5 and 6,,,,National Park Service,29.945,-89.99249,,Chalmette,St. Bernard Parish,Louisiana,"Marker is on Battlefield Road, on the left when traveling south. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=6271
6273,,Battery 4,,,,National Park Service,29.94299,-89.99372,,Chalmette,St. Bernard Parish,Louisiana,"Marker is on Battlefield Road, on the left when traveling south. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=6273
7575,,C.S.A. Brigadier General Tom Green,,,2008,Louisiana Society Order of The Confederate Rose,31.93462,-93.29976,,Lake End,Red River Parish,Louisiana,"Marker is on the Lock and Dam No. 4 access road, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=7575
7848,,Fort Buhlow and Fort Randolph,,,,T. O. Moore Chapter of the United Daughters of the Confederacy,31.32721,-92.44822,,Pineville,Rapides Parish,Louisiana,"Marker is on Monroe Highway (U.S. 71/165) near Rainbow Drive, on the left when traveling east. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=7848
10104,,England AFB Heritage Park,,,,,31.3261,-92.52932,,Alexandria,Rapides Parish,Louisiana,"Marker is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=10104
10107,,Republic F-84F Thunderstreak,,,,,31.32637,-92.52913,,Alexandria,Rapides Parish,Louisiana,"Marker is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=10107
10109,,Republic F-105 Thunderchief,,,,,31.32655,-92.52925,,Alexandria,Rapides Parish,Louisiana,"Marker is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=10109
10110,,Fairchild Republic A-10 Thunderbolt II,,,,,31.3266,-92.52942,,Alexandria,Rapides Parish,Louisiana,"Marker is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=10110
10111,,LTV Aerospace Vought A-7D Corsair II,,,,,31.32648,-92.52962,,Alexandria,Rapides Parish,Louisiana,"Marker is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=10111
10112,,North American F-86 Sabre,,,,,31.32627,-92.52968,,Alexandria,Rapides Parish,Louisiana,"Marker is on England Drive, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=10112
10581,,Frogmore Mound,Ancient Mounds Trail,,,,31.60444,-91.67111,11054 Highway 84,Frogmore,Concordia Parish,Louisiana,Marker is at the intersection of Highway 84 and Frogmore Plantation Road on Highway 84. ,,http://www.hmdb.org/m.asp?m=10581
10582,,Relocation of Vidalia,1938–1939,,,,31.56444,-91.41972,,Vidalia,Concordia Parish,Louisiana,Marker can be reached from Concordia Avenue. ,,http://www.hmdb.org/m.asp?m=10582
10583,,"Sidney A. Murray, Jr., Hydroelectric Station",1990,,,,31.56472,-91.41944,,Vidalia,Concordia Parish,Louisiana,Marker can be reached from Concordia Avenue. ,,http://www.hmdb.org/m.asp?m=10583
12678,,Gilbert Academy and New Orleans University,,,1993,Gilbert Academy Alumni Association,29.92765,-90.11163,5318 St. Charles Ave,New Orleans,Orleans Parish,Louisiana,"Marker is at the intersection of St. Charles Avenue and Valmont Street, on the right when traveling east on St. Charles Avenue. ",,http://www.hmdb.org/m.asp?m=12678
12679,,New Orleans,,,1968,Louisiana Tourist Development Commission,29.95731,-90.06209,,New Orleans,Orleans Parish,Louisiana,"Marker is on Decatur Street south of St Ann Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=12679
13036,,Homer Adolph Plessy,1862-1925,,,,29.95922,-90.07185,,New Orleans,Orleans Parish,Louisiana,Marker can be reached from Basin Street. ,,http://www.hmdb.org/m.asp?m=13036
