MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
703,,Casa de Armijo,,,,,35.09586,-106.66941,208 San Felipe St NW,Albuquerque,Bernalillo County,New Mexico,"Marker is at the intersection of San Felipe St., NW and S Plaza St NW, on the right when traveling north on San Felipe St., NW. ",,http://www.hmdb.org/m.asp?m=703
4314,,Trinity Site,,,1965,White Sands Missile Range,33.6773,-106.47528,,White Sands Proving Grounds,Socorro County,New Mexico,,,http://www.hmdb.org/m.asp?m=4314
4378,,Tucumcari Mountain,,,,,35.179,-103.72556,,Tucumcari,Quay County,New Mexico,"Marker is on East Main St (U.S. 54), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=4378
5979,,Stephen Tyng Mather,,"July 4, 1887 - Jan. 22, 1930",,National Park Service,32.17675,-104.44137,727 NM-7,Carlsbad,Eddy County,New Mexico,"Marker can be reached from State Road 7, 6.8 miles west of U.S. 62. ",,http://www.hmdb.org/m.asp?m=5979
6549,,Oñate’s Route, On the Camino Real,,,,32.00642,-106.58178,,Anthony,Doña Ana County,New Mexico,Marker can be reached from northbound I-10 (Interstate 10) when traveling north. ,,http://www.hmdb.org/m.asp?m=6549
6552,,Brazito Battlefield,,,,,32.00643,-106.58173,,Anthony,Doña Ana County,New Mexico,Marker can be reached from Interstate 10 when traveling north. ,,http://www.hmdb.org/m.asp?m=6552
6553,,Butterfield Trail/Espejo's Expedition,/On the Camino Real,,,New Mexico Historic Preservation Division,32.00648,-106.58168,,Anthony,Doña Ana County,New Mexico,Marker can be reached from Interstate 10. ,,http://www.hmdb.org/m.asp?m=6553
6677,,Confederate Soldiers,,,,,35.09608,-106.6698,,Albuquerque,Bernalillo County,New Mexico,Marker can be reached from San Felipe Street NW. ,,http://www.hmdb.org/m.asp?m=6677
6987,,Butterfield Overland Trail,South Central Region,,,"District IV New Mexico State Garden Clubs, Inc.",32.27432,-106.79533,,Mesilla,Doña Ana County,New Mexico,"Marker is on Calle de Guadalupe, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=6987
6988,,Plaza de Mesilla,,,1977,,32.27412,-106.79525,,Mesilla,Doña Ana County,New Mexico,"Marker is on Calle de Parian, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6988
6989,,All Servicemen and Women,,,1957,"Ray McCorkle Post No. 3242, Veterans of Foreign Wars",32.27412,-106.79525,,Mesilla,Doña Ana County,New Mexico,"Marker is on Calle de Parian, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6989
6991,,"Head Quarters, Dept. of New Mexico","Fort Fillmore, Nov. 15th, 1854",,,,32.27412,-106.79525,,Mesilla,Doña Ana County,New Mexico,"Marker is on Calle de Parian, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6991
6992,,The Gadsden Purchase Celebration,,,,,32.27412,-106.79525,,Mesilla,Doña Ana County,New Mexico,"Marker is on Calle de Parian, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6992
8504,,Albuquerque,On the Camino Real,"Population 331,767 ~ Elevation 5,310",,New Mexico Historic Preservation Division,35.06537,-106.77415,,Albuquerque,Bernalillo County,New Mexico,"Marker is on Central Avenue (U.S. 66) 0.7 miles east of Paseo Del Volcan Road SW, on the right when traveling east. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=8504
14129,,El Morro National Monument Inscription Rock,,,,State of New Mexico,35.04324,-108.33807,,Ramah,Cibola County,New Mexico,"Marker is on State Road 53, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=14129
15072,,McDonald Ranch House Trinity Site,National Historic Landmark,1972,1984,US Army White Sands Missile Range,33.65058,-106.46024,,White Sands Proving Grounds,Socorro County,New Mexico,Marker is on WSMR S Route 321. ,,http://www.hmdb.org/m.asp?m=15072
15073,,Trinity Site,,,,,33.88444,-106.67167,,White Sands Proving Grounds,Socorro County,New Mexico,Marker is on U.S. 380 near WSMR P Route 7 (State Road 525). ,,http://www.hmdb.org/m.asp?m=15073
22805,177,"Farmington, New Mexico",,,1952,"Daughters of the Utah Pioneers, To-tah Camp, San Juan Co., N.M.",36.73438,-108.20935,400 West Apache Street,Farmington,San Juan County,New Mexico,"Marker is on Locke Avenue, 0 miles north of Apache Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=22805
22861,,Footloose in Farmington:,A Historic Perspective of Downtown,,,,36.72923,-108.2055,108 West Main Street,Farmington,San Juan County,New Mexico,"Marker is at the intersection of Main Street and Orchard Avenue, on the right when traveling west on Main Street. ",,http://www.hmdb.org/m.asp?m=22861
24312,,Fort Craig,,,,,33.62974,-107.01317,,San Marcial,Socorro County,New Mexico,"Marker can be reached from Fort Craig Road, 5 miles east of I-25. ",,http://www.hmdb.org/m.asp?m=24312
24314,,Peralta,,,,New Mexico Historic Preservation Division,34.83733,-106.69061,3675 NM-47,Peralta,Valencia County,New Mexico,"Marker is at the intersection of Peralta Boulevard and State Road 47, on the right when traveling north on Peralta Boulevard. ",,http://www.hmdb.org/m.asp?m=24314
24745,,Hatch,"Population 1,028  -  Elevation 4,055",,,,32.66583,-107.16017,,Hatch,Doña Ana County,New Mexico,,,http://www.hmdb.org/m.asp?m=24745
25111,,Smokey Bear,,,1976,,33.5464,-105.57438,118 Smokey Bear Blvd,Capitan,Lincoln County,New Mexico,Marker can be reached from the intersection of Smokey Bear Boulevard (U.S. 380) and Stanton Avenue (County Road 206). ,,http://www.hmdb.org/m.asp?m=25111
26924,,Doña Ana County Courthouse and Jail,,,,U. S. Department of the Interior,32.2742,-106.795,,Mesilla,Doña Ana County,New Mexico,"Marker is at the intersection of Calle de Parian and Calle de Guadalupe, on the left when traveling east on Calle de Parian. <font color=red> Reported missing.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=26924
29664,,Rio Grande Gorge Bridge,,,1965,,36.47525,-105.73553,,Taos,Taos County,New Mexico,"Marker can be reached from U.S. 64, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=29664
