MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
432,,Friday’s Added Station,,,2004,,38.96411,-119.93909,,Glenbrook,Douglas County,Nevada,"Marker is on US Highway 50 (U.S. 50) near Lake Parkway, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=432
1266,,Remember Metropolis,,,1989,Desccendents of Metropolis Settlers,41.22802,-115.05789,,Wells,Elko County,Nevada,"Marker is on County Route 754, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=1266
1278,,509th Composite Group – First Atomic Bombardment,,,1990,Members and Friends of the 509th Composite Group with additional funding provided by the Division of Historic Preservation and Archeology,40.73714,-114.05675,,West Wendover,Elko County,Nevada,"Marker is on Wendover Boulevard west of U.S. 93, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=1278
1279,56,Virgin Valley,,,1969,Nevada State Park System and Southern Nevada Historical Society,36.80412,-114.06855,35 West Mesquite Boulevard,Mesquite,Clark County,Nevada,"Marker is at the intersection of West Mesquite Boulevard (Nevada Route 144) and Yucca Street, on the right when traveling west on West Mesquite Boulevard. ",,http://www.hmdb.org/m.asp?m=1279
1282,4,Tithing Lot,,,2003,City of Mesquite,36.80407,-114.06689,9 E Mesquite Blvd.,Mesquite,Clark County,Nevada,"Marker is on East Mesquite Boulevard, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=1282
1289,58,Old Boundary,Nevada’s Southern Boundary 1861-1867,,1978,"Nevada State Park System, Southern Nevada Historical Society",37.04461,-114.98441,,Alamo,Lincoln County,Nevada,"Marker is on U.S. 93 at milepost 13,, 30 miles south of Alamo, Nevada, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=1289
1290,38,Pahranagat Valley,,,1968,"Nevada State Park System, Lincoln County Area Development Committee",37.36222,-115.15918,,Alamo,Lincoln County,Nevada,"Marker is at the intersection of U.S. 93 and First South, on the left when traveling north on U.S. 93. ",,http://www.hmdb.org/m.asp?m=1290
1291,205,Crystal Springs,,,1976,"Nevada State Park System, Nevada Historical Society",37.53263,-115.23353,,Rachel,Lincoln County,Nevada,"Marker is at the intersection of Nevada Route 375 and Nevada Route 318, on the left when traveling north on State Route 375. ",,http://www.hmdb.org/m.asp?m=1291
1293,,Cherry Creek School,,,1999,"Lucinda Jane Saunders Chapter 1881, E Clampus Vitus",39.90072,-114.88885,,Cherry Creek,White Pine County,Nevada,"Marker is on C Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=1293
1300,206,Hiko,,,1976,"Nevada State Park System, Nevada Historical Society",37.59671,-115.22391,,Crystal Springs,Lincoln County,Nevada,"Marker is on Nevada Route 318 at milepost 5, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=1300
