MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
385,,Washington’s Headquarters,"Liberty and Washington Streets, Newburgh",Historic New York,1995,"the Education Department, State of New York, Department of Public Works",41.59256,-74.08846,,Wallkill,Ulster County,New York,"Marker is on New York State Thruway (Interstate 87 at milepost 66) near the Route 32 overpass, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=385
525,,Sibyl Ludington,,,1935,State Education Department,41.50821,-73.68369,,Carmel,Putnam County,New York,Marker is on Ludingtonville Road (County Route 43) near New York State Route 52. ,,http://www.hmdb.org/m.asp?m=525
526,,Parade Ground,,,1932,the State Department of Education,41.50821,-73.68369,,Carmel,Putnam County,New York,Marker is on Ludingtonville Road (County Route 43) near New York State Route 52. ,,http://www.hmdb.org/m.asp?m=526
1056,,Bernhard E. Fernow,,,,the New York Society of American Foresters,44.25202,-74.3467,,Tupper Lake,Franklin County,New York,Marker can be reached from New York State Route 30. ,,http://www.hmdb.org/m.asp?m=1056
1144,,Fishkill in the American Revolution,,,1974,"the New York State Education Department, the New York State American Revolution Bicentennial Commission, and the New York State Department of Transportation",41.54815,-73.72367,,Stormville,Dutchess County,New York,Marker is on Route 84 at milepost 55. ,,http://www.hmdb.org/m.asp?m=1144
2488,,River That Flows Both Ways,,,,,41.70641,-73.94039,,Poughkeepsie,Dutchess County,New York,Marker can be reached from Water Street near Main Street. ,,http://www.hmdb.org/m.asp?m=2488
4190,,Albany Pump Station,,,1981,,42.65409,-73.74758,,Albany,Albany County,New York,"Marker is on Montgomery Street (parking lot), on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=4190
4267,,Site of The Battle of Oriskany,"August 6, 1777",Historic New York,1961,Education Department & Department of Public Works,42.94271,-74.39851,,Fultonville,Montgomery County,New York,"Marker is on New York State Thruway Westbound (Interstate 90 at milepost 184), on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=4267
4269,,Herkimer Home - 1764,Three miles east of Little Falls on Route 5-S,Historic New York,1961,Education Department & Department of Public Works,42.94303,-74.39778,,Fultonville,Montgomery County,New York,"Marker is on New York State Thruway (Interstate 90 at milepost 184), on the right. ",,http://www.hmdb.org/m.asp?m=4269
4337,,Thomas Edison Arrived at Schenectady,,,,New York State Education Department,42.81393,-73.94333,,Schenectady,Schenectady County,New York,"Marker is on State Street (New York State Route 5), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=4337
5174,,The Erie Canal / Albany Basin,,,,The Canal Society of New York State,42.65579,-73.74284,,Albany,Albany County,New York,,,http://www.hmdb.org/m.asp?m=5174
5191,,Lincoln in Albany,,,2007,New York State Abraham Lincoln Bicentennial Commission and Heritage New York,42.65176,-73.75659,,Albany,Albany County,New York,,,http://www.hmdb.org/m.asp?m=5191
5192,,Lincoln Mourned,,,2007,New York State Abraham Lincoln Bicentennial Commission and Heritage New York,42.65405,-73.74818,,Albany,Albany County,New York,,,http://www.hmdb.org/m.asp?m=5192
5248,,Fort Frederick,,,,,42.65114,-73.75536,,Albany,Albany County,New York,"Marker is at the intersection of State Street and Eagle Street, on the left when traveling east on State Street. ",,http://www.hmdb.org/m.asp?m=5248
5280,,Fort Frederick,,,1940,New York State Education Department,42.65143,-73.75551,,Albany,Albany County,New York,"Marker is at the intersection of Eagle Street and Eagle Street and State Street, on the right when traveling south on Eagle Street. ",,http://www.hmdb.org/m.asp?m=5280
5282,,Fort Plain,,,1928,Fort Plain Chapter Daughters of the American Revolution,42.94072,-74.62913,,Fort Plain,Montgomery County,New York,"Marker is on Canal Street (New York State Route 5S), on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=5282
5286,,Fort Plain,,,1928,New York State Education Department,42.94075,-74.62925,,Fort Plain,Montgomery County,New York,"Marker is on Canal Street (Route 5S), on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=5286
5402,,Mount Utsayantha,,,,,42.4075,-74.61033,,Stamford,Delaware County,New York,"Marker is at the intersection of Main Street (New York State Route 23) and Mountain Ave., on the right when traveling south on Main Street. ",,http://www.hmdb.org/m.asp?m=5402
5405,,Fort Frederick,,,1868,Bi-Centennial Tablet,42.65129,-73.75557,,Albany,Albany County,New York,"Marker is at the intersection of Eagle Street and Eagle Street and State Street, on the right on Eagle Street. ",,http://www.hmdb.org/m.asp?m=5405
5439,,Site of Martin Van Buren Residence,,,1936,The New York State Education Department,42.64976,-73.75314,90 State Street,Albany,Albany County,New York,"Marker is at the intersection of State Street and South Pearl Street, on the right when traveling east on State Street. ",,http://www.hmdb.org/m.asp?m=5439
5453,,Christ Episcopal Church,,,1932,New York State Education Department,42.76866,-74.15529,,Duanesburg,Schenectady County,New York,"Marker is at the intersection of Great Western Turnpike (U.S. 20) and Duanesburg Churches Road (County Route 127), on the right when traveling west on Great Western Turnpike. ",,http://www.hmdb.org/m.asp?m=5453
5518,,William North,,,1932,New York State Education Department,42.76866,-74.15529,,Duanesburg,Schenectady County,New York,"Marker is at the intersection of Great Western Turnpike (U.S. 20) and Duanesburg Churches Road (County Route 127), on the right when traveling west on Great Western Turnpike. ",,http://www.hmdb.org/m.asp?m=5518
5540,,Albany - Capital of New York 200 Years,,,1997,State of New York and City of Albany,42.64814,-73.75037,,Albany,Albany County,New York,"Marker is on Broadway, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=5540
5560,,200th Anniversary of Albany Charter,,,,City of Albany,42.65175,-73.75492,24 Eagle Street,Albany,Albany County,New York,"Marker is at the intersection of Eagle Street and Corning Place, on the left when traveling south on Eagle Street. ",,http://www.hmdb.org/m.asp?m=5560
5580,,Christ Episcopal Church,,,,United States Department of the Interior,42.76889,-74.15525,,Duanesburg,Schenectady County,New York,"Marker is at the intersection of Great Western Turnpike (U.S. 20) and Duanesburg Churches Road (County Route 127), on the right when traveling west on Great Western Turnpike. ",,http://www.hmdb.org/m.asp?m=5580
5682,,Colonial Court House,,,1932,New York State Education Department,43.00663,-74.37438,,Johnstown,Fulton County,New York,"Marker is on North William Street (New York State Route 29) near W. Main Street (New York State Route 67), on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=5682
5683,,Johnson Hall - 1763,Johnstown,Historic New York,1965,New York State Education Department,43.00668,-74.374,,Johnstown,Fulton County,New York,"Marker is on North William Street (New York State Route 29) near W. Main Street (New York State Route 67), on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=5683
5686,,Colonial Cemetery,&#8594;,,1932,New York State Education Department,43.00799,-74.3737,,Johnstown,Fulton County,New York,"Marker is on West Green Street near W. State Street & N. William Street (New York State Route 29), on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=5686
5687,,Johnson Hall,,,1936,New York State Education Department,43.01194,-74.38042,,Johnstown,Fulton County,New York,"Marker is at the intersection of West State Street (New York State Route 29) and Hall Avenue, on the right when traveling west on West State Street. ",,http://www.hmdb.org/m.asp?m=5687
5690,,Johnson Trail,,,1938,New York State Education Department,42.95747,-74.23931,,Fort Johnson,Montgomery County,New York,"Marker is at the intersection of Fort Johnson Avenue (New York State Route 67) and Prospect Street, on the right when traveling north on Fort Johnson Avenue. ",,http://www.hmdb.org/m.asp?m=5690
5706,,New Paltz,,,1935,State Education Department,41.74825,-74.085,,New Paltz,Ulster County,New York,"Marker is on Main Street (New York State Route 299) near North Front Street, on the right. ",,http://www.hmdb.org/m.asp?m=5706
5708,,New Paltz,,,1935,New York State Education Department,41.75046,-74.08765,,New Paltz,Ulster County,New York,"Marker is on North Front Street, on the right when traveling west. <font color=red> Reported missing.</font>",Confirmed Missing,http://www.hmdb.org/m.asp?m=5708
5710,,Jean Hasbrouck House,,,1935,New York State Education Department,41.75082,-74.08823,,New Paltz,Ulster County,New York,"Marker is at the intersection of Huguenot Street and North Front Street, on the right when traveling south on Huguenot Street. ",,http://www.hmdb.org/m.asp?m=5710
5712,,Deyo House,,,1935,New York State Education Department,41.75115,-74.08813,,New Paltz,Ulster County,New York,"Marker is on Huguenot Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=5712
5713,,Dubois House,,,1935,New York State Education Department,41.75155,-74.08833,,New Paltz,Ulster County,New York,"Marker is on Huguenot Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=5713
5722,,Bevier House,,,1935,New York State Education Department,41.75193,-74.08824,,New Paltz,Ulster County,New York,"Marker is at the intersection of Huguenot Street and Broadhead Street, on the right when traveling north on Huguenot Street. ",,http://www.hmdb.org/m.asp?m=5722
5726,,Freer House,,,1935,New York State Education Department,41.7529,-74.0884,,New Paltz,Ulster County,New York,Marker is on Huguenot Street. ,,http://www.hmdb.org/m.asp?m=5726
5728,,Hasbrouck House,,,1935,New York State Education Department,41.75266,-74.08836,,New Paltz,Ulster County,New York,Marker is on Huguenot. ,,http://www.hmdb.org/m.asp?m=5728
5732,,Stone Church-1773,,,1935,New York State Education Department,41.75224,-74.08846,,New Paltz,Ulster County,New York,"Marker is on Huguenot Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=5732
5736,,Walloon Church,,,1935,New York State Education Department,41.7506,-74.08844,,New Paltz,Ulster County,New York,"Marker is on Huguenot, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=5736
5737,,1799 House,,,,Huguenot Historical Society,41.75017,-74.08885,,New Paltz,Ulster County,New York,"Marker is on Huguenot, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=5737
6040,,Frost Homestead,,,1935,New York State Education Department,42.82834,-74.1348,8882 Mariaville Road,Duanesburg,Schenectady County,New York,"Marker is at the intersection of Mariaville Road (County Route 159) and Batter Street (County Route 94), on the right when traveling west on Mariaville Road. ",,http://www.hmdb.org/m.asp?m=6040
6041,,Tory Tree Site,,,1932,New York State Education Department,42.79972,-74.24568,,Duanesburg,Schenectady County,New York,"Marker is on Eaton Corners Road (County Route 147), on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=6041
6042,,Baptist Church,,,1932,New York State Education Department,42.80869,-74.21563,7967 State Route 30,Duanesburg,Schenectady County,New York,"Marker is on New York State Route 30, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=6042
6043,,Friends Meeting House,,,1932,New York State Education Department,42.73466,-74.18658,10226,Duanesburg,Schenectady County,New York,"Marker is on New York State Route 7, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=6043
6044,,County Line Meeting House,,,1935,New York State Education Department,42.81712,-74.24646,,Duanesburg,Schenectady County,New York,"Marker is on Mill Point Road, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=6044
