MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
2184,12308,A. A. & Mary Spacek House,,,1999,Texas Historical Commission,30.716,-97.44515,204 S Rio Grande St,Granger,Williamson County,Texas,"Marker is on South Rio Grande Street north of West Mesquite (Route 971), on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=2184
2204,13802,A. S. Mason House,,,1983,Texas Historical Commission,30.56686,-97.86629,,Leander,Williamson County,Texas,Marker is on Bagdad Road. ,,http://www.hmdb.org/m.asp?m=2204
2245,9029,Andice Baptist Church,,,1976,Texas Historical Commission,30.78187,-97.85439,6570 Fm 970,Andice,Williamson County,Texas,Marker is on Fm 970. ,,http://www.hmdb.org/m.asp?m=2245
2287,12298,Barker House,,,1998,Texas Historical Commission,30.51452,-97.69392,1113 Ledbetter Street,Round Rock,Williamson County,Texas,Marker is on Ledbetter Street. ,,http://www.hmdb.org/m.asp?m=2287
2327,9316,Andrew J. Palm House,,,1978,Texas Historical Commission,30.50902,-97.67728,208 E Main Ave,Round Rock,Williamson County,Texas,Marker is on East Main Avenue near North Lampasas Street. ,,http://www.hmdb.org/m.asp?m=2327
2497,12426,Brick Streets in Granger,,,2001,Texas Historical Commission,30.7179,-97.44533,,Granger,Williamson County,Texas,Marker is on West Davilla Street. ,,http://www.hmdb.org/m.asp?m=2497
2510,9038,Bryson Stagecoach Stop,,,1981,Texas Historical Commission,30.6777,-97.94401,,Liberty Hill,Williamson County,Texas,Marker is on State Highway 29. ,,http://www.hmdb.org/m.asp?m=2510
2544,9039,Burcham House,,,1988,Texas Historical Commission,30.6322,-97.67182,1310 S College St,Georgetown,Williamson County,Texas,Marker is on South College Street. ,,http://www.hmdb.org/m.asp?m=2544
2562,13876,C.A.D. Clamp,(1827–1915),,1990,Texas Historical Commission,30.63732,-97.67701,705 South Main Street,Georgetown,Williamson County,Texas,Marker is on South Main Street. ,,http://www.hmdb.org/m.asp?m=2562
2644,9045,Cotton Cards Factory,,,1964,State Historical Survey Committee,30.63602,-97.43476,,Circleville,Williamson County,Texas,Marker is on State Highway 95. ,,http://www.hmdb.org/m.asp?m=2644
2740,12994,Champion Cemetery,,,2002,Texas Historical Commission,30.51243,-97.75788,,Cedar Park,Williamson County,Texas,Marker is on Brushy Creek Road. ,,http://www.hmdb.org/m.asp?m=2740
2743,9358,City of Taylor,,,1976,Texas Historical Commission,30.5713,-97.40975,,Taylor,Williamson County,Texas,Marker is on North Main Street. ,,http://www.hmdb.org/m.asp?m=2743
2754,12640,City of Weir,,,2002,Texas Historical Commission,30.67478,-97.58638,,Weir,Williamson County,Texas,Marker is on Farm to Market Road 971. ,,http://www.hmdb.org/m.asp?m=2754
2793,9363,Community of Theon,,,1979,Texas Historical Commission,30.76248,-97.59709,,Theon,Williamson County,Texas,Marker is on Farm to Market Road 1105. ,,http://www.hmdb.org/m.asp?m=2793
2801,12702,Confederate Chaplains,Rev. Edward Hudson – Rev. John Hudson,,1964,State Historical Survey Committee,30.52456,-97.6336,,Round Rock,Williamson County,Texas,Marker is on East Palm Valley Boulevard (U.S. 79). ,,http://www.hmdb.org/m.asp?m=2801
2844,9044,Cornhill Cemetery,,,1970,State Historical Survey Committee,30.80207,-97.60422,,Jarrell,Williamson County,Texas,Marker is on County Road 313. ,,http://www.hmdb.org/m.asp?m=2844
2905,13674,David Love Store,,,1988,Texas Historical Commission,30.63713,-97.67816,706 S Austin Ave,Georgetown,Williamson County,Texas,Marker is on South Austin Avenue. ,,http://www.hmdb.org/m.asp?m=2905
2948,9047,Doak Home,,,1965,the Texas Historical Survey Committee,30.57297,-97.41668,600 W 7th St,Taylor,Williamson County,Texas,Marker is on West 7th Street. ,,http://www.hmdb.org/m.asp?m=2948
3087,13616,Dr. James Lee Dickey,,,2006,Texas Historical Commission,30.57212,-97.40534,500 Burkett St,Taylor,Williamson County,Texas,Marker is on Burkett Street. ,,http://www.hmdb.org/m.asp?m=3087
3096,9084,Early Church,,,1970,State Historical Survey Committee,30.83816,-97.78937,,Florence,Williamson County,Texas,Marker is on Suttles Street. ,,http://www.hmdb.org/m.asp?m=3096
3140,9085,Early Commercial Building,,,1970,the Texas Historical Survey Committee,30.50893,-97.67758,203 E Main Ave,Round Rock,Williamson County,Texas,Marker is on East Main Avenue. ,,http://www.hmdb.org/m.asp?m=3140
3197,9086,Eikel-Prewitt Building,,,1985,Texas Historical Commission,30.57037,-97.40966,316 N Main St,Taylor,Williamson County,Texas,Marker is on North Main Street. ,,http://www.hmdb.org/m.asp?m=3197
3208,9028,Elisha Allen,"(December 16, 1813 – March 6, 1893)",,1976,Texas Historical Commission,30.77484,-97.4423,,Bartlett,Williamson County,Texas,Marker is on County Road 387. ,,http://www.hmdb.org/m.asp?m=3208
3265,13603,Farmers State Bank Building,,,2007,Texas Historical Commission,30.63683,-97.67815,716 S Austin Ave,Georgetown,Williamson County,Texas,,,http://www.hmdb.org/m.asp?m=3265
3303,12417,First Baptist Church of Florence,,,2001,Texas Historical Commission,30.84291,-97.79308,106 College Ave,Florence,Williamson County,Texas,Marker is on College Ave near Gardner Street. ,,http://www.hmdb.org/m.asp?m=3303
3379,9091,First Christian Church of Taylor,,,1970,State Historical Survey Committee,30.57264,-97.41103,603 Talbot St,Taylor,Williamson County,Texas,Marker is on Talbot Street. ,,http://www.hmdb.org/m.asp?m=3379
3526,9092,First Presbyterian Church of Taylor,,,1989,Texas Historical Commission,30.57249,-97.41071,114 W 6th St,Taylor,Williamson County,Texas,Marker is on West 6th Street. ,,http://www.hmdb.org/m.asp?m=3526
