MarkerId,MarkerNumber,Title,Subtitle,Annotation,YearErected,ErectedBy,Latitude,Longitude,StreetAddress,City,County,State,Location,Missing,Link
3734,,Colville - Walla Walla Road,,,1929,Eastern Washington Historical Society,47.64367,-117.7729,,Hite,Spokane County,Washington,Marker is on U.S. 2 near S. Coulee Hite Road. ,,http://www.hmdb.org/m.asp?m=3734
3766,,Wai-i-lat-pu,,,,Cooperating Agencies,46.04995,-118.4661,,Walla Walla,Walla Walla County,Washington,"Marker is on Route 12, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=3766
3816,,Battle of Four Lakes,,,1935,"Spokane County Pioneer Society, Medical Lake Commercial Club, and Four Lakes Grange",47.56175,-117.5963,,Four Lakes,Spokane County,Washington,"Marker is on S. Electric Ave. near West 1st Street, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=3816
3817,,The Battle of Spokane Plains,,,,Washington State Historical Society,47.64318,-117.64802,,Fairchild,Spokane County,Washington,"Marker is on South Dover Road near U.S. 2, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=3817
8382,,The Finn Hall,,,,"Descendants and friends of Finnish Settlers, Woodland Bicentennial Committee, Washington State Highways Commission, Washington State Parks and Recreation Commission, Cowlitz County Parks and Recreation Dept.",45.94358,-122.69297,,Woodland,Cowlitz County,Washington,Marker is on Finn Hall Road (Washington Route 503). ,,http://www.hmdb.org/m.asp?m=8382
8383,,The Reservation Monument,,,1925,Washington State Historical Society,45.6288,-122.66427,,Vancouver,Clark County,Washington,Marker is at the intersection of E. Evergreen Way and Officers Row on E. Evergreen Way. ,,http://www.hmdb.org/m.asp?m=8383
8399,,Woodland Community Veterans Memorial,,,2001,,45.90117,-122.74706,230 Davidson Ave.,Woodland,Cowlitz County,Washington,"Memorial is at the intersection of Davidson Avenue and Goerig Street, on the right when traveling west on Davidson Avenue. ",,http://www.hmdb.org/m.asp?m=8399
8400,15,Fort Vancouver,,,,"Historical Sites and Markers Commission, State Highway Commission",45.79927,-122.68005,,Ridgefield,Clark County,Washington,Marker is on Southbound Gee Creek Rest Area (Interstate 5). ,,http://www.hmdb.org/m.asp?m=8400
8401,,Theodore A. Penland Rose Garden,,,,"The Daughters of Union Veterans and the Woman’s Relief Corps, Auxiliary to the G.A.R. of Clark County, Washington",45.63698,-122.65635,1601 East 4th Plain Boulevard,Vancouver,Clark County,Washington,"Marker is on C Street Circle, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8401
8403,,The First Fort Vancouver,,,,,45.62484,-122.64046,,Vancouver,Clark County,Washington,"Marker is at the intersection of Grand Boulevard and E. 6th Street, on the right when traveling north on Grand Boulevard. ",,http://www.hmdb.org/m.asp?m=8403
8405,,The 321st Observation Squadron (1923-1941),,,,Vancouver National Historic Reserve,45.62417,-122.65728,"1115 E 5th St.,",Vancouver,Clark County,Washington,"Marker is on E. 5th Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=8405
8406,,From Military to Municipal Airfield,,,,Vancouver National Historic Reserve,45.62045,-122.64973,,Vancouver,Clark County,Washington,Marker is on S. V Street near Columbia House Boulevard. ,,http://www.hmdb.org/m.asp?m=8406
8422,,Ilchee,,,1994,,45.61605,-122.65482,,Vancouver,Clark County,Washington,Marker can be reached from SE Columbia River Drive near Columbia Shores. ,,http://www.hmdb.org/m.asp?m=8422
8423,,First Japanese on the North American Continent,,,1989,"Hyogo Boy Scouts Rover Troop, 1989 Washington Centennial Commission, National Park Service and Japanese American Citizens League",45.62639,-122.65684,,Vancouver,Clark County,Washington,"Marker is on E. Evergreen Way, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8423
8424,,U. S. Grant Memorial,1853,,1927,"Cadets, Hill Military Academy, Portland, Oregon",45.62458,-122.6536,,Vancouver,Clark County,Washington,"Marker is on E. 5th Street near Davis Avenue, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=8424
8427,,Carlton Foster Bond,1893 - 1980,,1996,Kenneth E. & Eunice M. Teter,45.62428,-122.65685,1115 E 5th St.,Vancouver,Clark County,Washington,"Marker is on E. 5th Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8427
8496,,Vancouver Barracks Parade Ground,,,,National Park Service,45.62772,-122.66026,1101 E. Evergreen Way,Vancouver,Clark County,Washington,"Marker is on E. Evergreen Way, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8496
8499,,The Grant House,,Officers Row,,Vancouver National Historic Reserve,45.62795,-122.66002,1101 E. Evergreen Blvd.,Vancouver,Clark County,Washington,"Marker is on E. Evergreen Boulevard, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=8499
8513,,Harley H. Hall,,,,The American Legion Post 176,45.72225,-122.65042,14011 NE 20th Ave,Salmon Creek Heights,Clark County,Washington,Memorial is on NE 139th Street near NE 20th Ave. <font color=red> Reported permanently removed.</font>,Confirmed Missing,http://www.hmdb.org/m.asp?m=8513
8515,,Captain George Vancouver Monument Plaza,1792 Discovery,,1992,,45.62179,-122.67389,100 Columbia Street,Vancouver,Clark County,Washington,"Marker is on Columbia Street near 3rd Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8515
8516,,Captain George Vancouver Monument,Boat of Discovery,,1992,,45.62179,-122.67389,100 Columbia Street,Vancouver,Clark County,Washington,"Marker is on Columbia Street near 3rd Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8516
8517,,Covington House,,,,,45.65265,-122.66639,4201 Main St.,Vancouver,Clark County,Washington,"Marker is on Main Street near E. 40th Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=8517
8519,,Cannon Replica Project,,,1991,City of Vancouver,45.62843,-122.66363,,Vancouver,Clark County,Washington,"Marker is at the intersection of E. Evergreen Way and Fort Vancouver Way, on the right when traveling east on E. Evergreen Way. ",,http://www.hmdb.org/m.asp?m=8519
8523,66,Officers Row,Fort Vancouver Barracks,,,Washington State Parks and Recreation Commission,45.62801,-122.66016,1101 E. Evergreen Way,Vancouver,Clark County,Washington,"Marker is on E. Evergreen Way, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=8523
8527,,Officers Row,,,,Vancouver National Historic Reserve,45.62865,-122.66279,,Vancouver,Clark County,Washington,"Marker is at the intersection of E. Evergreen Way and Fort Vancouver Way, on the left when traveling east on E. Evergreen Way. ",,http://www.hmdb.org/m.asp?m=8527
8529,,Officers Row,,,,Vancouver National Historic Reserve,45.62667,-122.65484,,Vancouver,Clark County,Washington,"Marker is on Officers Row near E. Evergreen Blvd, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=8529
8536,,Clark County Veterans Memorial,,,1998,Clark County,45.62686,-122.66455,,Vancouver,Clark County,Washington,"Memorial is on Fort Vancouver Way near McClellan Road, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=8536
8572,,The O. O. Howard House,,Officers Row,,Vancouver National Historic Reserve,45.62772,-122.6642,750 Anderson Street,Vancouver,Clark County,Washington,"Marker is at the intersection of Fort Vancouver Way and Anderson Street, on the right when traveling south on Fort Vancouver Way. ",,http://www.hmdb.org/m.asp?m=8572
8691,,Whose Anchor?,,,,"National Park Service, Fort Vancouver National Historic Site, and the Vancouver National Historic Reserve",45.62609,-122.65517,,Vancouver,Clark County,Washington,"Marker is on E. Evergreen Boulevard, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=8691
8739,,The Post Hospital,,Officers Row,,Vancouver National Historic Reserve,45.62722,-122.66655,750 Anderson Street,Vancouver,Clark County,Washington,"Marker is at the intersection of Barnes Street, on the right when traveling south on Barnes Street. ",,http://www.hmdb.org/m.asp?m=8739
8741,,The Infantry Barracks,,Officers Row,,Vancouver National Historic Reserve,45.62753,-122.6662,,Vancouver,Clark County,Washington,"Marker is at the intersection of Barnes Street and McClellan Road, on the right when traveling south on Barnes Street. ",,http://www.hmdb.org/m.asp?m=8741
8742,,The Artillery Barracks,,Officers Row,,Vancouver National Historic Reserve,45.62625,-122.66623,,Vancouver,Clark County,Washington,"Marker is at the intersection of Hathaway Road, on the right when traveling west on Hathaway Road. ",,http://www.hmdb.org/m.asp?m=8742
8743,,The Red Cross Convalescent House,,Officers Row,,Vancouver National Historic Reserve,45.62633,-122.66674,,Vancouver,Clark County,Washington,"Marker is at the intersection of Hathaway Road, on the right when traveling west on Hathaway Road. ",,http://www.hmdb.org/m.asp?m=8743
8959,,The Marshall House,,Officers Row,,Vancouver National Historic Reserve,45.62728,-122.65724,1301 E. Evergreen Blvd,Vancouver,Clark County,Washington,"Marker is on E. Evergreen Boulevard, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=8959
8962,,Howard C. French / Alexander Pearson,,,1938,,45.62425,-122.65728,"1115 E 5th St.,",Vancouver,Clark County,Washington,"Marker is on E. 5th Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=8962
8963,,The Sutler's Store,,Officers Row,,Vancouver National Historic Reserve,45.62605,-122.66587,,Vancouver,Clark County,Washington,"Marker is on Hathaway Road near Fort Vancouver Way, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=8963
8964,,St. James Mission,,Officers Row,,Vancouver National Historic Reserve,45.62565,-122.66555,,Vancouver,Clark County,Washington,"Marker is on Fort Vancouver Way near Martin Court, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=8964
12289,,United States Army Arrives,,,,Vancouver National Historic Reserve,45.62054,-122.67027,112 Columbia Way,Vancouver,Clark County,Washington,Marker is on SE Columbia Way. ,,http://www.hmdb.org/m.asp?m=12289
12292,,A Busy Place Is This,,,,,45.62036,-122.66984,112 Columbia Way,Vancouver,Clark County,Washington,Marker can be reached from SE Columbia Way. ,,http://www.hmdb.org/m.asp?m=12292
12293,,Heart of a Trading Empire,,,,Vancouver National Historic Reserve,45.62017,-122.66936,112 Columbia Way,Vancouver,Clark County,Washington,Marker can be reached from SE Columbia Way. ,,http://www.hmdb.org/m.asp?m=12293
12295,,A River of Settlers,,,,,45.6199,-122.66815,112 Columbia Way,Vancouver,Clark County,Washington,Marker can be reached from SE Columbia Way. ,,http://www.hmdb.org/m.asp?m=12295
22481,,Smith Tower,,1989 Washington State Centennial,1969,"Historic Seattle, Museum of History and Industry, Pioneer Square Businesses, and King County",47.6019,-122.33191,506 2nd Avenue,Seattle,King County,Washington,"Marker can be reached from 2nd Avenue north of Yester Way, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=22481
22490,,King Street Station,,1989 Washington State Centennial,1989,"Historic Seattle, Museum of History and Industry, Pioneer Square Businesses, and King County.",47.5986,-122.33008,303 South Jackson Street,Seattle,King County,Washington,"Marker can be reached from South King Street east of 2nd Avenue, South. ",,http://www.hmdb.org/m.asp?m=22490
22495,,Pioneer Building,,1989 Washington State Centennial,1989,"Historic Seattle, Museum of History and Industry, Pioneer Square Businesses, and King County.",47.60209,-122.33371,600 1st Avenue,Seattle,King County,Washington,Marker can be reached from 1st Avenue north of James Street and Yesler Way. ,,http://www.hmdb.org/m.asp?m=22495
22499,,Lou Graham’s Sporting House,,1989 Washington State Centennial,1989,"Historic Seattle, Museum of History and Industry, Pioneer Square Businesses, and King County.",47.60079,-122.33048,"205 3rd Avenue, So.",Seattle,King County,Washington,"Marker is at the intersection of South Washington Street and 3rd Avenue, South on South Washington Street. ",,http://www.hmdb.org/m.asp?m=22499
22557,,"Martin Luther King, Jr. Memorial Park",,"The Life of Martin Luther King, Jr.",1991,"Dr. Martin Luther King, Jr. Memorial Committee",47.58292,-122.29701,"2200 Martin Luther King, Jr. Way, S",Seattle,King County,Washington,"Marker can be reached from Martin Luther King, Jr. Way S. south of S. Walker Street. ",,http://www.hmdb.org/m.asp?m=22557
22867,,Congressional Medal of Honor Monument,,,1991,Congressional Medal of Honor Society,45.62844,-122.66368,,Vancouver,Clark County,Washington,"Marker is at the intersection of E. Evergreen Way and Fort Vancouver Way, on the right when traveling east on E. Evergreen Way. ",,http://www.hmdb.org/m.asp?m=22867
26934,,Chinese American Soldiers Memorial,Seattle,,1950,Seattle Chinese Community,47.59876,-122.32526,,Seattle,King County,Washington,"Marker is on Maynard Avenue, South north of South King Street. ",,http://www.hmdb.org/m.asp?m=26934
27187,1919.551.1,1890 Seattle Fire Department Bell,,,2002,Seattle Museum of History and Industry (MOHAI),47.64554,-122.30078,,Seattle,King County,Washington,Marker can be reached from 24th Avenue East. ,,http://www.hmdb.org/m.asp?m=27187
27794,,Mural at Bergen Place,,,1995,"Voluntary Contributions of Citizens, Organizations, and Businesses and by a Grant from the City of Seattle Neighborhood Matching Fund.",47.66825,-122.38441,2200 Northwest Market Street,Seattle,King County,Washington,Marker is at the intersection of Northwest Market Street and Leary Ave. NW on Northwest Market Street. ,,http://www.hmdb.org/m.asp?m=27794
27976,,The Ballard Avenue Landmark District Historic Marker Project,,,2007,Ballard Historical Society,47.66794,-122.3849,,Ballard,King County,Washington,Marker is at the intersection of 22nd Avenue NW and Ballard Avenue NW on 22nd Avenue NW. ,,http://www.hmdb.org/m.asp?m=27976
28029,,"Western State Hospital Historical Cemetery, 1876-1953",,,2003,"Pierce County Parks and Recreation, Lakewood Historical Society and The State of Washington",47.17393,-122.55894,,Lakewood,Pierce County,Washington,"Marker is on Dresden Lane South West, 0.1 miles north of Angle Lane South West, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=28029
28031,,Two-Story Log House,Just South,Erected 1852,1961,Pierce County Pioneer & Historical Association,47.17415,-122.59856,,Steilacoom,Pierce County,Washington,"Marker is at the intersection of Commercial Street (at milepost 1,800) and Main Street on Commercial Street. ",,http://www.hmdb.org/m.asp?m=28031
28032,,Military Road,,,1925,Washington State Historical Society,47.17715,-122.56448,,Lakewood,Pierce County,Washington,"Marker is on Steilacoom Boulevard SW near Sequoia Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=28032
34471,23,Sam Hill Country,,,,Washington State Department of Transportation,45.6975,-120.81942,,Goldendale,Klickitat County,Washington,"Marker is on Lewis and Clark Highway (Washington Route 14) 1.1 miles east of Maryhill Ranch Road, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=34471
34519,37,Ainsworth,,,,Washington State Highway Commission in cooperation with the State Parks and Recreation Commission,46.21819,-119.02707,,Pasco,Franklin County,Washington,"Marker can be reached from the intersection of Sacajawea Park Road and U.S. 12, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=34519
34559,38,Fort Walla Walla,,,,Washington State Highway Commission in Cooperation with the State Parks and Recreation Commission.,46.08436,-118.9097,,Wallula,Walla Walla County,Washington,"Marker is on U.S. 12, 1.1 miles south of Boise Cascade Road, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=34559
36497,,Winthrop,,,,Okanogan County Historical Society,48.47778,-120.18528,,Winthrop,Okanogan County,Washington,Marker is at the intersection of Riverside Avenue and Bridge Street on Riverside Avenue. ,,http://www.hmdb.org/m.asp?m=36497
